Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Sudan,SDN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1292.37963867188,1297.15454101563,1261.87353515625,1185.94445800781,1126.55297851563,1056.86474609375,1009.54888916016,973.225280761719,677.723205566406,578.38916015625,..
Sudan,SDN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..
Sudan,SDN,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,..,..,..,..,..,..,..,..,..,..,..
Sudan,SDN,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,..,..,..,..,..,..,..,..,..,..,..
Sudan,SDN,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,..,..,..,..,..,..,..,9.672,..,..,..
Sudan,SDN,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,..,..,..,..,..,..,..,11.608,..,..,..
Sudan,SDN,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,..,..,..,..,..,..,..,22.381,..,..,..
Sudan,SDN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,14.39,13.656,13,12.347,11.697,11.995,11.087,7.53,..,..,..
Sudan,SDN,GDP (constant 2015 US$),NY.GDP.MKTP.KD,51726758676.7677,53520457581.1072,53900054790.1369,52455031754.9093,51312429477.3951,49449890489.355,48525909156.8784,48061119947.9824,33915159867.9417,29179132473.6304,..
Suriname,SUR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,8813.61705392067,8293.31553031406,8338.69235401862,8666.64870697797,8677.30522021731,7213.10766669943,6973.89941868115,7081.33357325783,7186.47308739957,7246.2576795921,..
Suriname,SUR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.53479610522553,5.64051904970974,5.45861311514349,4.92259355761269,6.77857289012664,4.58425708265782,4.13154972947739,3.43460841988051,2.86623341491363,..,..
Suriname,SUR,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,11.3765989907288,16.0754186091418,17.3235780033042,14.7241725175527,15.2769886363636,13.9423454559736,11.7829457364341,10.9554367201426,7.53629215182217,8.5530042989969,..
Suriname,SUR,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,..,..,..,..,..,..,..,..,..,..,..
Suriname,SUR,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,..,9.141,..,..,..,..,..,..,..,..,..
Suriname,SUR,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,..,5.377,..,..,..,..,..,..,..,..,..
Suriname,SUR,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,..,3.606,..,..,..,..,..,..,..,..,..
Suriname,SUR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.22,7.917,7.905,7.817,7.755,8.973,8.706,7.973,7.699,7.621,7.834
Suriname,SUR,GDP (constant 2015 US$),NY.GDP.MKTP.KD,5126237646.22072,4874454256.1508,4950790053.58146,5195768566.26648,5256433828.6406,4416708447.1504,4309144555.20541,4412832154.84564,4519472314.04237,4597250505.9213,..
Sweden,SWE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,51188.1652120493,51626.3235312369,51894.3748177808,52203.0872589761,53024.4099494317,51624.5811789573,53997.1337068799,54304.1877501033,53937.7967122429,54209.9474264877,..
Sweden,SWE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,7.49442005157471,7.63991022109985,7.63849020004272,7.69825983047485,7.66307020187378,7.95333003997803,7.60224008560181,7.31909990310669,..,..,..
Sweden,SWE,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,15.186710357666,15.4641704559326,15.5369501113892,15.5150499343872,15.7452297210693,15.3117399215698,15.549150466919,15.2760496139526,..,..,..
Sweden,SWE,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,23.58743,23.75742,..,..,..,..,..,..,..,..,..
Sweden,SWE,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,18.863,18.841,18.528,18.709,20.587,24.612,27.725,24.68,24.175,25.732,..
Sweden,SWE,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,6.223,5.66,5.118,4.622,5.013,6.319,6.751,5.704,5.916,6.357,..
Sweden,SWE,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,4.264,4.035,4.059,3.699,3.72,4.732,4.355,3.382,3.906,4.766,..
Sweden,SWE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.432,6.99,6.718,6.365,6.833,8.291,8.803,7.417,7.611,8.4,8.694
Sweden,SWE,GDP (constant 2015 US$),NY.GDP.MKTP.KD,501602351911.6,512292396637.964,521937949816.044,531177584320.755,545031918111.884,534492107010.626,562423939232.591,569484812988.256,568322714847.714,572983369203.274,..
Switzerland,CHE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,83806.4476003837,84611.0998672721,84967.5886498224,86756.6022327472,87123.6604234257,84637.0132935333,88661.2029776281,90605.019427268,90077.4460280731,90067.4645431168,..
Switzerland,CHE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.99560022354126,4.98164987564087,5.01765012741089,4.9300799369812,5.01438999176025,5.27676010131836,5.02535009384155,4.86427021026611,..,..,..
Switzerland,CHE,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,15.3883600234985,15.3604698181152,15.4610500335693,15.5259704589844,15.676739692688,14.2745599746704,14.6093101501465,15.4151697158813,..,..,..
Switzerland,CHE,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,24.45516,..,..,..,..,..,..,..,..,..,..
Switzerland,CHE,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,8.697,9.503,8.195,7.841,7.939,8.266,9.348,7.916,7.64,8.368,..
Switzerland,CHE,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,4.37,4.788,4.6,4.753,4.415,5.015,5.106,3.879,3.75,3.806,..
Switzerland,CHE,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,3.68,3.251,3.798,3.499,3.229,3.509,3.334,3.01,3.07,3.414,..
Switzerland,CHE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.801,4.918,4.797,4.713,4.394,4.817,5.013,4.122,4.043,4.343,4.873
Switzerland,CHE,GDP (constant 2015 US$),NY.GDP.MKTP.KD,694118186379.628,708477337740.424,718132464454.115,738674254331.744,747109782755.794,731108655210.761,771755519734.1,795248228754.84,800682383958.149,811109937475.131,..
Syrian Arab Republic,SYR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,847.731631942565,802.969498335502,795.883216970859,792.413811698757,771.518695271305,740.811397013438,734.334236323426,712.272278200037,..,..,..
Syrian Arab Republic,SYR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..
Syrian Arab Republic,SYR,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,..,..,..,..,..,..,..,..,..,..,..
Syrian Arab Republic,SYR,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,..,..,..,..,..,..,..,..,..,..,..
Syrian Arab Republic,SYR,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,..,..,..,..,..,..,..,..,..,..,..
Syrian Arab Republic,SYR,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,..,..,..,..,..,..,..,..,..,..,..
